Station_ID,City,Charger_Type,Vehicle_Type,Energy_Consumed_kWh,Grid_Load_kW,Station_Status,Date
EV10001,Kochi,Fast,Bus,189.5,333.67,Active,2025-09-19
EV10002,Calicut,DC Fast,Bus,112.87,473.04,Active,2025-01-28
EV10003,Trivandrum,DC Fast,Car,135.41,242.44,Active,2025-05-27
EV10004,Hyderabad,DC Fast,Car,33.96,477.68,Active,2025-05-25
EV10005,Kochi,Level 2,Car,185.51,300.7,Active,2025-12-30
EV10006,Kochi,Fast,Bus,136.01,198.43,Active,2025-09-18
EV10007,Hyderabad,Level 2,Car,229.49,44.68,Active,2025-04-26
EV10008,Calicut,Fast,Bike,74.74,95.02,Active,2025-02-16
EV10009,Delhi,Level 2,Car,178.24,329.69,Active,2025-12-10
EV10010,Trivandrum,Fast,Bus,171.45,162.27,Inactive,2025-07-17
EV10011,Trivandrum,Fast,Car,223.24,316.4,Active,2025-01-30
EV10012,Chennai,Slow,Bike,231.35,260.94,Active,2025-09-04
EV10013,Chennai,Slow,Car,169.03,235.63,Inactive,2025-08-04
EV10014,Kochi,Slow,Bus,60.62,37.05,Inactive,2025-08-31
EV10015,Chennai,Level 2,Bus,24.88,288.02,Active,2025-03-15
EV10016,Delhi,Fast,Bus,226.18,107.06,Inactive,2025-09-20
EV10017,Trivandrum,Slow,Bike,235.37,470.47,Inactive,2025-02-27
EV10018,Bengaluru,DC Fast,Car,218.31,101.19,Inactive,2025-05-31
EV10019,Delhi,Level 2,Bus,73.81,103.33,Active,2025-07-19
EV10020,Hyderabad,Fast,Bus,67.65,455.25,Active,2025-04-07
EV10021,Mumbai,Level 2,Car,34.02,74.35,Active,2025-11-10
EV10022,Hyderabad,Slow,Bus,187.4,277.74,Inactive,2025-12-16
EV10023,Trivandrum,DC Fast,Bike,79.71,30.7,Inactive,2025-04-06
EV10024,Hyderabad,Fast,Bike,40.66,382.01,Active,2025-10-15
EV10025,Mumbai,Level 2,Car,28.94,34.95,Active,2025-01-13
EV10026,Bengaluru,Slow,Bus,88.51,432.66,Active,2025-08-21
EV10027,Delhi,Fast,Car,53.97,328.83,Inactive,2025-09-07
EV10028,Calicut,Slow,Car,89.79,179.41,Inactive,2025-12-12
EV10029,Bengaluru,Level 2,Bike,227.79,192.37,Inactive,2025-01-23
EV10030,Chennai,Slow,Bike,38.17,174.81,Inactive,2025-06-12
EV10031,Calicut,Fast,Car,126.93,253.94,Active,2025-10-05
EV10032,Delhi,Fast,Car,195.07,52.42,Inactive,2025-08-18
EV10033,Calicut,Slow,Bike,196.74,368.84,Inactive,2025-06-17
EV10034,Mumbai,Slow,Bus,21.2,227.09,Active,2025-11-30
EV10035,Delhi,Slow,Bus,222.26,398.18,Inactive,2025-11-12
EV10036,Calicut,Fast,Car,17.68,318.15,Active,2025-09-06
EV10037,Hyderabad,Slow,Bus,26.02,351.81,Active,2025-06-01
EV10038,Kochi,Slow,Bike,182.11,423.19,Active,2025-09-29
EV10039,Chennai,Fast,Bus,94.17,468.7,Active,2025-02-22
EV10040,Hyderabad,DC Fast,Bus,48.22,163.58,Active,2025-08-09
EV10041,Trivandrum,Level 2,Car,99.04,460.29,Active,2025-07-01
EV10042,Chennai,DC Fast,Car,51.31,471.47,Active,2025-03-07
EV10043,Hyderabad,Level 2,Car,71.34,406.14,Inactive,2025-09-04
EV10044,Trivandrum,Level 2,Car,66.74,75.73,Active,2025-07-10
EV10045,Bengaluru,DC Fast,Bike,246.39,122.43,Inactive,2025-11-11
EV10046,Kochi,Fast,Bus,162.42,385.57,Active,2025-06-03
EV10047,Mumbai,Fast,Car,133.52,38.44,Inactive,2025-05-02
EV10048,Mumbai,DC Fast,Bike,47.99,499.5,Inactive,2025-05-21
EV10049,Calicut,Slow,Bus,181.77,29.22,Inactive,2025-06-26
EV10050,Calicut,Slow,Bus,128.66,93.33,Inactive,2025-05-04
EV10051,Bengaluru,Slow,Car,218.28,209.48,Inactive,2025-02-28
EV10052,Calicut,Level 2,Bike,148.82,49.02,Active,2025-04-01
EV10053,Delhi,DC Fast,Bike,148.55,372.99,Active,2025-12-28
EV10054,Kochi,DC Fast,Bus,235.68,219.93,Inactive,2025-09-19
EV10055,Bengaluru,Slow,Bike,48.39,181.36,Inactive,2025-08-29
EV10056,Delhi,Slow,Car,187.66,208.57,Active,2025-01-05
EV10057,Trivandrum,Level 2,Car,81.92,401.0,Active,2025-10-22
EV10058,Bengaluru,Slow,Bike,33.73,304.03,Active,2025-06-05
EV10059,Bengaluru,Fast,Bike,92.3,490.67,Active,2025-03-15
EV10060,Calicut,DC Fast,Bus,134.52,306.83,Inactive,2025-07-29
EV10061,Mumbai,Fast,Bus,196.2,127.04,Inactive,2025-02-09
EV10062,Kochi,Level 2,Bike,113.24,199.06,Active,2025-09-27
EV10063,Calicut,Level 2,Bus,225.99,463.77,Inactive,2025-09-22
EV10064,Calicut,Fast,Bike,101.15,192.28,Inactive,2025-11-29
EV10065,Delhi,DC Fast,Car,88.06,214.94,Inactive,2025-11-06
EV10066,Hyderabad,Level 2,Car,129.17,359.54,Inactive,2025-03-22
EV10067,Bengaluru,DC Fast,Bike,221.82,116.15,Inactive,2025-08-26
EV10068,Chennai,Slow,Bike,118.99,371.94,Active,2025-03-16
EV10069,Hyderabad,Level 2,Bus,149.06,403.78,Active,2025-06-27
EV10070,Mumbai,Level 2,Car,79.32,123.11,Inactive,2025-04-27
EV10071,Hyderabad,Slow,Bus,234.58,321.65,Active,2025-01-24
EV10072,Bengaluru,Level 2,Bus,122.11,484.53,Active,2025-06-19
EV10073,Delhi,Slow,Car,40.52,368.44,Active,2025-02-23
EV10074,Delhi,Fast,Bike,209.92,480.51,Inactive,2025-04-20
EV10075,Mumbai,Fast,Bike,27.17,421.16,Active,2025-10-16
EV10076,Calicut,Slow,Bike,118.87,231.11,Active,2025-02-16
EV10077,Hyderabad,Fast,Car,60.37,443.33,Active,2025-04-14
EV10078,Delhi,Fast,Bike,223.15,159.44,Inactive,2025-08-17
EV10079,Kochi,DC Fast,Bike,131.41,437.78,Active,2025-09-19
EV10080,Mumbai,DC Fast,Bus,122.42,269.83,Active,2025-04-10
EV10081,Calicut,Level 2,Car,105.59,20.69,Inactive,2025-06-04
EV10082,Delhi,Slow,Car,57.43,89.39,Active,2025-03-12
EV10083,Bengaluru,Slow,Car,185.68,428.51,Active,2025-04-27
EV10084,Kochi,Level 2,Bike,84.16,310.69,Active,2025-07-25
EV10085,Trivandrum,Slow,Bus,53.67,435.36,Inactive,2025-05-07
EV10086,Chennai,Slow,Bike,138.28,484.01,Inactive,2025-10-14
EV10087,Bengaluru,Slow,Car,97.59,391.48,Inactive,2025-11-06
EV10088,Hyderabad,DC Fast,Bike,42.27,409.56,Inactive,2025-02-06
EV10089,Delhi,DC Fast,Car,202.12,447.39,Inactive,2025-10-17
EV10090,Delhi,DC Fast,Car,123.6,142.42,Active,2025-01-27
EV10091,Trivandrum,DC Fast,Bus,236.65,158.92,Inactive,2025-10-21
EV10092,Hyderabad,Fast,Car,83.54,443.46,Inactive,2025-09-22
EV10093,Chennai,Slow,Bike,37.99,331.04,Active,2025-01-26
EV10094,Trivandrum,Fast,Bike,181.9,494.67,Inactive,2025-06-24
EV10095,Bengaluru,Level 2,Bus,174.49,328.3,Active,2025-01-27
EV10096,Mumbai,Slow,Bike,93.22,425.34,Active,2025-11-25
EV10097,Kochi,Level 2,Car,24.89,135.55,Inactive,2025-12-03
EV10098,Chennai,Slow,Bus,139.86,191.11,Active,2025-05-30
EV10099,Trivandrum,Level 2,Bike,84.05,189.62,Inactive,2025-01-21
EV10100,Chennai,Level 2,Bus,162.61,94.59,Inactive,2025-01-21
EV10101,Kochi,Fast,Bike,10.48,36.2,Inactive,2025-04-17
EV10102,Calicut,DC Fast,Bike,101.85,231.3,Inactive,2025-11-24
EV10103,Bengaluru,Fast,Car,75.56,436.47,Active,2025-04-25
EV10104,Kochi,DC Fast,Car,185.95,263.71,Active,2025-05-02
EV10105,Hyderabad,Fast,Bike,167.95,336.36,Inactive,2025-03-11
EV10106,Hyderabad,Fast,Bus,61.83,212.63,Inactive,2025-12-25
EV10107,Hyderabad,DC Fast,Bus,100.95,64.76,Active,2025-08-10
EV10108,Bengaluru,DC Fast,Bus,61.94,485.9,Active,2025-09-06
EV10109,Chennai,DC Fast,Bike,19.31,392.18,Active,2025-09-04
EV10110,Hyderabad,Level 2,Car,102.74,49.53,Active,2025-01-26
EV10111,Hyderabad,Level 2,Bus,105.95,388.75,Active,2025-08-29
EV10112,Kochi,Level 2,Bike,15.0,288.75,Active,2025-05-27
EV10113,Kochi,DC Fast,Car,245.39,359.02,Inactive,2025-02-17
EV10114,Trivandrum,Fast,Bus,149.31,280.86,Inactive,2025-03-17
EV10115,Mumbai,DC Fast,Bike,99.7,386.94,Inactive,2025-09-21
EV10116,Delhi,Slow,Bus,196.71,457.11,Active,2025-06-10
EV10117,Chennai,DC Fast,Bus,229.38,193.65,Active,2025-11-04
EV10118,Kochi,Slow,Bus,240.44,347.34,Active,2025-01-04
EV10119,Trivandrum,Level 2,Car,210.87,159.58,Active,2025-03-24
EV10120,Bengaluru,Fast,Car,112.89,30.01,Active,2025-05-20
EV10121,Kochi,Slow,Bike,89.02,140.12,Active,2025-05-15
EV10122,Kochi,DC Fast,Bus,95.6,227.29,Active,2025-02-09
EV10123,Hyderabad,DC Fast,Car,92.06,136.21,Inactive,2025-02-17
EV10124,Calicut,DC Fast,Bike,162.55,231.34,Active,2025-07-09
EV10125,Mumbai,DC Fast,Car,57.49,196.68,Active,2025-06-15
EV10126,Delhi,Fast,Bus,236.35,195.15,Inactive,2025-05-14
EV10127,Kochi,Slow,Bike,165.5,222.14,Active,2025-04-26
EV10128,Chennai,Fast,Bus,44.48,59.25,Inactive,2025-07-06
EV10129,Trivandrum,Slow,Bike,41.28,85.0,Active,2025-09-07
EV10130,Delhi,DC Fast,Bike,189.39,354.65,Active,2025-06-22
EV10131,Trivandrum,DC Fast,Bus,142.19,61.93,Inactive,2025-08-17
EV10132,Chennai,Slow,Car,169.63,430.26,Inactive,2025-04-10
EV10133,Trivandrum,DC Fast,Bus,115.43,205.44,Active,2025-02-28
EV10134,Chennai,DC Fast,Car,112.4,218.11,Active,2025-07-28
EV10135,Trivandrum,Level 2,Car,79.88,29.4,Active,2025-01-26
EV10136,Delhi,DC Fast,Bike,69.75,32.03,Active,2025-08-02
EV10137,Delhi,DC Fast,Car,157.18,211.06,Inactive,2025-09-21
EV10138,Chennai,Slow,Car,118.79,252.25,Active,2025-10-23
EV10139,Hyderabad,Fast,Bus,74.38,484.12,Inactive,2025-04-11
EV10140,Trivandrum,Fast,Bus,175.85,44.29,Active,2025-09-30
EV10141,Chennai,Level 2,Car,176.03,76.61,Active,2025-07-31
EV10142,Bengaluru,DC Fast,Bus,101.03,474.1,Active,2025-03-26
EV10143,Bengaluru,Level 2,Car,47.55,323.93,Active,2025-01-18
EV10144,Trivandrum,DC Fast,Car,71.46,54.32,Inactive,2025-05-17
EV10145,Kochi,Fast,Car,130.37,284.26,Active,2025-09-23
EV10146,Mumbai,Level 2,Car,140.47,315.81,Active,2025-11-17
EV10147,Calicut,Slow,Bus,217.72,40.7,Inactive,2025-11-14
EV10148,Bengaluru,Fast,Car,84.13,396.19,Inactive,2025-09-23
EV10149,Hyderabad,Fast,Bus,49.9,223.05,Active,2025-10-13
EV10150,Mumbai,Slow,Car,101.98,316.15,Active,2025-04-18
EV10151,Kochi,Level 2,Bus,97.14,161.05,Active,2025-10-07
EV10152,Kochi,DC Fast,Bike,171.77,70.95,Inactive,2025-12-13
EV10153,Calicut,DC Fast,Car,140.79,108.93,Active,2025-10-06
EV10154,Trivandrum,DC Fast,Car,242.64,490.97,Inactive,2025-11-20
EV10155,Mumbai,Slow,Car,98.34,315.75,Inactive,2025-12-31
EV10156,Trivandrum,Level 2,Bike,126.06,112.72,Active,2025-01-18
EV10157,Delhi,Slow,Car,115.13,467.11,Inactive,2025-10-17
EV10158,Delhi,DC Fast,Car,195.0,461.34,Inactive,2025-07-03
EV10159,Mumbai,DC Fast,Bus,130.78,290.12,Inactive,2025-11-30
EV10160,Calicut,Fast,Bus,175.99,55.54,Active,2025-10-12
EV10161,Mumbai,Level 2,Bus,39.88,20.87,Active,2025-11-15
EV10162,Delhi,DC Fast,Bike,226.84,187.26,Active,2025-04-09
EV10163,Delhi,Level 2,Bus,98.9,383.86,Inactive,2025-06-28
EV10164,Chennai,Fast,Bike,121.38,201.83,Active,2025-05-05
EV10165,Bengaluru,Level 2,Bike,246.4,110.67,Active,2025-04-27
EV10166,Chennai,Slow,Car,231.12,320.31,Inactive,2025-05-14
EV10167,Delhi,DC Fast,Bike,159.88,173.84,Active,2025-09-11
EV10168,Delhi,DC Fast,Bus,93.34,49.99,Active,2025-09-02
EV10169,Trivandrum,Level 2,Car,171.85,205.15,Active,2025-05-03
EV10170,Calicut,Slow,Car,148.42,389.2,Active,2025-02-21
EV10171,Calicut,Slow,Bus,114.88,24.87,Active,2025-09-13
EV10172,Kochi,Level 2,Bus,21.15,473.21,Active,2025-10-26
EV10173,Kochi,Level 2,Car,38.87,275.08,Active,2025-03-06
EV10174,Delhi,Slow,Bike,22.75,102.19,Inactive,2025-06-10
EV10175,Mumbai,Slow,Bike,21.07,284.85,Inactive,2025-11-11
EV10176,Mumbai,Level 2,Bus,155.91,145.64,Inactive,2025-01-24
EV10177,Delhi,Slow,Car,80.37,453.15,Active,2025-04-22
EV10178,Mumbai,Fast,Car,150.71,135.61,Inactive,2025-12-24
EV10179,Mumbai,Level 2,Bus,43.28,48.73,Active,2025-09-27
EV10180,Kochi,Fast,Car,242.89,439.57,Active,2025-07-20
EV10181,Hyderabad,DC Fast,Bus,231.04,430.76,Inactive,2025-03-18
EV10182,Chennai,Slow,Bus,204.12,350.23,Inactive,2025-06-19
EV10183,Bengaluru,Fast,Car,43.02,297.33,Inactive,2025-03-21
EV10184,Kochi,DC Fast,Bike,191.85,394.68,Inactive,2025-01-23
EV10185,Trivandrum,Level 2,Car,37.2,74.79,Active,2025-03-13
EV10186,Bengaluru,Slow,Bike,16.31,405.06,Active,2025-06-15
EV10187,Bengaluru,DC Fast,Car,53.48,195.5,Inactive,2025-07-23
EV10188,Delhi,Slow,Bike,22.78,247.13,Inactive,2025-10-26
EV10189,Calicut,Level 2,Car,238.18,22.94,Inactive,2025-12-24
EV10190,Trivandrum,Slow,Bike,218.95,184.08,Inactive,2025-08-16
EV10191,Chennai,Level 2,Bus,111.04,92.64,Inactive,2025-07-16
EV10192,Calicut,Slow,Car,155.8,289.04,Active,2025-01-06
EV10193,Kochi,Slow,Bus,165.25,423.94,Inactive,2025-06-20
EV10194,Chennai,DC Fast,Bike,74.16,261.54,Active,2025-03-02
EV10195,Kochi,DC Fast,Car,135.85,448.05,Active,2025-04-01
EV10196,Chennai,Level 2,Bike,213.03,401.58,Inactive,2025-08-04
EV10197,Trivandrum,Level 2,Bike,221.69,181.54,Active,2025-02-14
EV10198,Chennai,DC Fast,Bike,47.6,201.03,Inactive,2025-10-15
EV10199,Hyderabad,DC Fast,Bike,103.04,96.86,Active,2025-07-01
EV10200,Mumbai,Slow,Car,90.2,27.23,Inactive,2025-09-09
EV10201,Hyderabad,Level 2,Bus,29.2,201.63,Inactive,2025-03-06
EV10202,Kochi,Fast,Bus,127.49,194.33,Active,2025-11-05
EV10203,Kochi,Level 2,Car,89.54,368.45,Inactive,2025-07-23
EV10204,Mumbai,Slow,Bus,233.71,341.97,Inactive,2025-01-22
EV10205,Trivandrum,Level 2,Bike,91.68,312.55,Inactive,2025-10-31
EV10206,Bengaluru,Level 2,Bike,163.24,89.84,Active,2025-12-03
EV10207,Delhi,Slow,Car,203.77,371.29,Active,2025-06-05
EV10208,Chennai,DC Fast,Bus,199.66,193.0,Active,2025-05-07
EV10209,Delhi,Level 2,Bike,157.81,319.43,Inactive,2025-11-29
EV10210,Delhi,DC Fast,Car,211.04,39.81,Active,2025-03-15
EV10211,Delhi,Level 2,Bike,90.06,216.62,Active,2025-12-01
EV10212,Hyderabad,Slow,Bike,221.75,61.11,Inactive,2025-11-01
EV10213,Mumbai,DC Fast,Bus,116.24,336.86,Inactive,2025-05-23
EV10214,Delhi,Fast,Car,63.77,489.3,Active,2025-12-23
EV10215,Chennai,Slow,Bus,160.44,497.53,Inactive,2025-12-02
EV10216,Delhi,DC Fast,Bus,49.52,136.18,Inactive,2025-11-05
EV10217,Calicut,Slow,Bike,102.2,265.67,Active,2025-02-17
EV10218,Hyderabad,DC Fast,Bus,96.94,453.41,Inactive,2025-03-25
EV10219,Calicut,Slow,Car,72.69,324.65,Inactive,2025-06-02
EV10220,Kochi,Level 2,Bus,50.79,144.7,Active,2025-04-05
EV10221,Hyderabad,DC Fast,Car,52.41,208.01,Inactive,2025-12-23
EV10222,Calicut,Level 2,Bus,60.91,21.06,Inactive,2025-03-20
EV10223,Calicut,Slow,Car,206.55,285.79,Active,2025-03-05
EV10224,Delhi,DC Fast,Bus,129.68,386.38,Inactive,2025-12-15
EV10225,Calicut,Fast,Car,106.43,420.26,Active,2025-04-03
EV10226,Mumbai,Fast,Bike,18.26,435.1,Active,2025-10-12
EV10227,Bengaluru,Slow,Bus,15.07,362.27,Active,2025-01-16
EV10228,Bengaluru,DC Fast,Bus,22.74,260.68,Active,2025-03-24
EV10229,Trivandrum,Level 2,Bus,233.85,225.18,Active,2025-12-08
EV10230,Delhi,Fast,Car,178.29,27.75,Inactive,2025-12-06
EV10231,Kochi,Fast,Bus,106.75,474.29,Active,2025-05-03
EV10232,Kochi,Fast,Bike,212.72,424.11,Inactive,2025-08-17
EV10233,Mumbai,Slow,Bike,150.55,347.65,Inactive,2025-01-18
EV10234,Mumbai,DC Fast,Bus,224.08,434.57,Inactive,2025-01-08
EV10235,Bengaluru,DC Fast,Bike,116.52,423.28,Inactive,2025-10-10
EV10236,Calicut,Fast,Bus,60.45,53.04,Active,2025-05-01
EV10237,Trivandrum,DC Fast,Bike,230.71,56.37,Active,2025-03-12
EV10238,Bengaluru,Slow,Bike,24.74,282.85,Active,2025-04-18
EV10239,Kochi,Fast,Car,44.46,198.8,Active,2025-02-09
EV10240,Chennai,Level 2,Bike,143.9,42.85,Active,2025-03-17
EV10241,Trivandrum,Slow,Car,116.2,102.88,Inactive,2025-06-04
EV10242,Bengaluru,Slow,Car,19.75,66.29,Active,2025-08-13
EV10243,Chennai,Level 2,Car,67.4,289.11,Inactive,2025-06-15
EV10244,Delhi,DC Fast,Bus,30.97,89.28,Inactive,2025-04-03
EV10245,Delhi,DC Fast,Car,11.84,312.44,Inactive,2025-02-12
EV10246,Trivandrum,Level 2,Bus,105.62,445.71,Active,2025-08-14
EV10247,Hyderabad,Level 2,Car,96.13,233.12,Active,2025-09-13
EV10248,Hyderabad,Slow,Bike,182.85,386.9,Inactive,2025-05-13
EV10249,Trivandrum,Fast,Car,40.58,451.15,Inactive,2025-11-12
EV10250,Calicut,Level 2,Car,248.11,490.45,Inactive,2025-03-17
EV10251,Hyderabad,Level 2,Bike,217.41,151.69,Inactive,2025-08-21
EV10252,Mumbai,DC Fast,Bus,239.71,328.97,Inactive,2025-01-10
EV10253,Bengaluru,DC Fast,Bike,168.16,145.64,Inactive,2025-08-17
EV10254,Calicut,Slow,Car,224.97,497.57,Active,2025-06-11
EV10255,Trivandrum,DC Fast,Car,236.51,337.24,Inactive,2025-08-03
EV10256,Calicut,Slow,Bus,138.25,367.08,Active,2025-10-22
EV10257,Bengaluru,DC Fast,Bus,24.28,437.44,Active,2025-02-19
EV10258,Bengaluru,DC Fast,Bus,60.71,343.61,Inactive,2025-12-31
EV10259,Kochi,Fast,Car,176.3,482.39,Inactive,2025-12-03
EV10260,Kochi,DC Fast,Car,86.02,198.53,Active,2025-05-09
EV10261,Chennai,DC Fast,Car,228.81,335.11,Active,2025-06-18
EV10262,Kochi,Fast,Car,102.8,107.57,Inactive,2025-09-30
EV10263,Delhi,DC Fast,Car,232.53,244.16,Inactive,2025-02-17
EV10264,Kochi,Level 2,Bus,72.98,283.92,Inactive,2025-07-05
EV10265,Bengaluru,Level 2,Car,61.2,498.7,Inactive,2025-02-02
EV10266,Delhi,Slow,Car,241.44,25.14,Inactive,2025-03-03
EV10267,Calicut,Fast,Bus,242.92,128.95,Active,2025-08-13
EV10268,Calicut,Level 2,Bus,174.95,181.04,Inactive,2025-11-17
EV10269,Mumbai,Slow,Bus,62.63,115.04,Inactive,2025-09-29
EV10270,Bengaluru,Fast,Car,216.58,318.26,Active,2025-11-05
EV10271,Delhi,Slow,Bus,213.68,122.14,Active,2025-07-30
EV10272,Kochi,Level 2,Bike,179.89,248.5,Active,2025-06-18
EV10273,Delhi,Fast,Bus,108.73,401.43,Inactive,2025-07-22
EV10274,Chennai,DC Fast,Bus,52.07,48.22,Inactive,2025-10-11
EV10275,Calicut,DC Fast,Bike,62.42,483.98,Active,2025-03-08
EV10276,Bengaluru,Level 2,Bus,133.29,242.38,Active,2025-01-15
EV10277,Kochi,Level 2,Bike,23.97,403.76,Active,2025-10-05
EV10278,Hyderabad,DC Fast,Car,94.48,241.87,Inactive,2025-09-13
EV10279,Chennai,Level 2,Bike,221.53,408.64,Inactive,2025-12-19
EV10280,Bengaluru,Level 2,Bus,111.59,228.64,Inactive,2025-07-31
EV10281,Calicut,Slow,Bike,200.01,417.15,Inactive,2025-05-19
EV10282,Kochi,Fast,Bus,249.75,313.63,Inactive,2025-04-03
EV10283,Bengaluru,Slow,Bus,187.93,408.27,Inactive,2025-08-16
EV10284,Trivandrum,Fast,Car,189.25,94.78,Active,2025-04-27
EV10285,Bengaluru,Slow,Bus,197.98,364.46,Inactive,2025-04-25
EV10286,Kochi,Fast,Bus,102.29,201.81,Inactive,2025-08-16
EV10287,Kochi,Level 2,Bike,76.16,101.19,Inactive,2025-10-13
EV10288,Trivandrum,DC Fast,Car,162.98,250.19,Active,2025-10-14
EV10289,Calicut,Level 2,Bus,152.35,311.6,Inactive,2025-02-18
EV10290,Calicut,Level 2,Car,211.93,446.7,Inactive,2025-05-15
EV10291,Hyderabad,Slow,Car,145.48,101.07,Inactive,2025-02-05
EV10292,Chennai,DC Fast,Car,16.25,176.76,Active,2025-09-16
EV10293,Hyderabad,Level 2,Bike,186.44,243.55,Active,2025-01-12
EV10294,Delhi,DC Fast,Car,36.51,179.6,Inactive,2025-11-06
EV10295,Calicut,Slow,Bus,131.26,219.5,Inactive,2025-11-16
EV10296,Calicut,Slow,Bike,147.76,213.66,Inactive,2025-04-08
EV10297,Mumbai,Level 2,Car,127.99,453.26,Inactive,2025-12-05
EV10298,Hyderabad,DC Fast,Bus,121.92,230.14,Inactive,2025-12-09
EV10299,Hyderabad,DC Fast,Bus,98.53,355.05,Inactive,2025-05-24
EV10300,Trivandrum,Level 2,Bus,148.62,261.34,Inactive,2025-06-08
EV10301,Bengaluru,DC Fast,Bus,27.18,45.21,Active,2025-06-15
EV10302,Hyderabad,Level 2,Bus,154.62,434.45,Inactive,2025-07-01
EV10303,Chennai,Level 2,Car,186.09,65.52,Inactive,2025-02-24
EV10304,Delhi,Slow,Car,120.22,205.52,Active,2025-02-09
EV10305,Hyderabad,Slow,Bike,175.95,289.74,Active,2025-09-20
EV10306,Mumbai,Level 2,Bike,95.79,446.71,Inactive,2025-01-20
EV10307,Kochi,Slow,Bus,30.07,468.88,Active,2025-08-15
EV10308,Kochi,Level 2,Car,219.56,311.77,Inactive,2025-11-08
EV10309,Calicut,Level 2,Car,132.24,55.82,Inactive,2025-11-04
EV10310,Hyderabad,DC Fast,Car,52.91,462.46,Active,2025-01-01
EV10311,Delhi,DC Fast,Bike,97.71,265.28,Active,2025-08-11
EV10312,Hyderabad,Level 2,Bus,95.16,307.89,Active,2025-01-22
EV10313,Mumbai,Slow,Bus,232.14,293.01,Active,2025-12-15
EV10314,Calicut,Slow,Bus,27.4,423.54,Active,2025-06-19
EV10315,Mumbai,Fast,Car,51.53,398.74,Inactive,2025-05-23
EV10316,Calicut,Level 2,Bus,90.71,239.7,Inactive,2025-12-16
EV10317,Hyderabad,Fast,Car,113.76,68.42,Inactive,2025-04-24
EV10318,Bengaluru,DC Fast,Bike,203.0,51.24,Active,2025-03-05
EV10319,Hyderabad,DC Fast,Bike,41.59,494.42,Active,2025-06-29
EV10320,Kochi,Slow,Car,55.85,45.58,Inactive,2025-12-14
EV10321,Chennai,Level 2,Bus,78.7,236.37,Active,2025-03-25
EV10322,Kochi,Fast,Bus,50.44,258.11,Inactive,2025-01-01
EV10323,Calicut,Level 2,Car,43.73,111.71,Active,2025-03-03
EV10324,Kochi,Level 2,Bike,10.77,189.58,Active,2025-09-06
EV10325,Hyderabad,Level 2,Bike,68.03,68.14,Active,2025-05-18
EV10326,Trivandrum,Fast,Bike,84.75,59.7,Active,2025-09-08
EV10327,Kochi,DC Fast,Car,100.32,151.13,Active,2025-06-03
EV10328,Kochi,DC Fast,Bus,173.29,244.89,Inactive,2025-09-27
EV10329,Trivandrum,Fast,Car,37.56,395.07,Active,2025-04-03
EV10330,Mumbai,Fast,Bike,248.98,491.08,Active,2025-04-05
EV10331,Kochi,Slow,Car,43.26,92.25,Active,2025-05-21
EV10332,Delhi,Slow,Bike,151.71,164.49,Active,2025-08-03
EV10333,Delhi,Slow,Bus,134.58,171.04,Active,2025-12-04
EV10334,Trivandrum,Slow,Bus,177.21,363.58,Inactive,2025-12-10
EV10335,Hyderabad,Level 2,Bike,117.92,144.87,Active,2025-01-06
EV10336,Delhi,Slow,Bus,147.36,328.04,Active,2025-12-31
EV10337,Kochi,Fast,Car,239.02,361.9,Active,2025-01-16
EV10338,Mumbai,DC Fast,Bike,148.46,314.14,Active,2025-09-04
EV10339,Trivandrum,DC Fast,Car,245.02,43.98,Inactive,2025-03-30
EV10340,Trivandrum,Fast,Car,55.98,476.01,Active,2025-07-03
EV10341,Delhi,Slow,Bus,120.6,121.77,Active,2025-06-14
EV10342,Mumbai,Fast,Bus,122.78,251.42,Inactive,2025-01-27
EV10343,Kochi,Fast,Car,198.41,162.72,Active,2025-03-11
EV10344,Mumbai,DC Fast,Car,167.77,339.38,Inactive,2025-02-08
EV10345,Kochi,Slow,Car,50.49,27.55,Inactive,2025-11-29
EV10346,Kochi,DC Fast,Bike,81.03,403.85,Inactive,2025-06-22
EV10347,Kochi,Level 2,Car,15.51,156.03,Inactive,2025-11-05
EV10348,Trivandrum,Slow,Car,195.11,111.49,Active,2025-12-13
EV10349,Trivandrum,Slow,Car,215.04,330.7,Active,2025-06-19
EV10350,Mumbai,Slow,Bus,246.07,40.15,Active,2025-12-10
EV10351,Hyderabad,Fast,Bus,55.27,304.43,Active,2025-08-23
EV10352,Hyderabad,Fast,Bus,241.35,112.3,Inactive,2025-04-04
EV10353,Delhi,Fast,Bus,53.06,472.46,Active,2025-02-09
EV10354,Mumbai,Slow,Bike,214.69,242.05,Active,2025-01-19
EV10355,Hyderabad,Fast,Bike,144.86,221.73,Active,2025-02-07
EV10356,Hyderabad,DC Fast,Bike,160.37,224.08,Inactive,2025-03-18
EV10357,Kochi,DC Fast,Car,93.6,178.22,Active,2025-07-01
EV10358,Bengaluru,DC Fast,Car,163.34,450.72,Active,2025-04-18
EV10359,Kochi,Level 2,Car,90.49,268.72,Inactive,2025-01-17
EV10360,Delhi,DC Fast,Bus,237.73,172.85,Active,2025-06-21
