Station_ID,City,Charger_Type,Vehicle_Type,Energy_Consumed_kWh,Grid_Load_kW,Station_Status,Date,year,month,day,day_of_year
EV10001,Chennai,Level 2,Bus,194.04,421.4644331029883,Active,2025-10-13,2025,10,13,286
EV10002,Hyderabad,Level 2,Bus,160.28,418.49243027339423,Inactive,2025-01-07,2025,1,7,7
EV10003,Delhi,Level 2,Bus,242.17,478.9437710443371,Active,2025-07-18,2025,7,18,199
EV10004,Chennai,Level 2,Bike,75.95,355.1708448946623,Inactive,2025-04-01,2025,4,1,91
EV10005,Trivandrum,Super Fast,Bus,117.49,119.72990213106961,Active,2025-05-27,2025,5,27,147
EV10006,Mumbai,Level 2,Car,34.47,29.734551149398794,Active,2025-05-30,2025,5,30,150
EV10007,Delhi,Fast,Bus,168.58,250.11958334100893,Active,2025-02-21,2025,2,21,52
EV10008,Delhi,Level 2,Car,96.12,266.5778554988267,Active,2025-08-31,2025,8,31,243
EV10009,Chennai,Super Fast,Bus,107.13,135.3260405594871,Inactive,2025-08-07,2025,8,7,219
EV10010,Calicut,Level 2,Bus,49.21,79.85477461932953,Active,2025-01-06,2025,1,6,6
EV10011,Trivandrum,Fast,Car,122.75,301.3799197714443,Active,2025-04-19,2025,4,19,109
EV10012,Chennai,Super Fast,Bus,250.0,386.8427235315878,Inactive,2025-12-17,2025,12,17,351
EV10013,Trivandrum,Super Fast,Bus,250.0,496.71396972327705,Active,2025-03-07,2025,3,7,66
EV10014,Trivandrum,Fast,Bus,228.55,383.9852562610489,Active,2025-01-10,2025,1,10,10
EV10015,Mumbai,Fast,Bike,132.05,400.94355884267884,Active,2025-07-21,2025,7,21,202
EV10016,Delhi,Fast,Car,137.14,315.90122154982276,Active,2025-10-09,2025,10,9,282
EV10017,Hyderabad,Fast,Bus,250.0,493.2428763056085,Active,2025-08-02,2025,8,2,214
EV10018,Mumbai,Fast,Car,123.52,327.1790648549938,Inactive,2025-03-09,2025,3,9,68
EV10019,Mumbai,Super Fast,Car,250.0,432.9215774718581,Active,2025-09-04,2025,9,4,247
EV10020,Trivandrum,Super Fast,Car,250.0,473.97663019565874,Active,2025-12-20,2025,12,20,354
EV10021,Bangalore,Level 2,Bus,218.56,466.33208024026925,Active,2025-11-23,2025,11,23,327
EV10022,Delhi,Level 2,Bus,96.98,203.07936501601114,Active,2025-02-19,2025,2,19,50
EV10023,Calicut,DC Fast,Car,33.55,57.75778799084415,Active,2025-01-17,2025,1,17,17
EV10024,Mumbai,Level 2,Bike,25.02,102.49937721883848,Active,2025-01-11,2025,1,11,11
EV10025,Hyderabad,Level 2,Car,38.17,48.42718659037159,Inactive,2025-11-05,2025,11,5,309
EV10026,Bangalore,Fast,Bike,28.13,70.59052871798721,Active,2025-11-02,2025,11,2,306
EV10027,Bangalore,Fast,Car,68.03,108.63259802897487,Active,2025-05-04,2025,5,4,124
EV10028,Calicut,Level 2,Car,70.17,183.72527196195284,Active,2025-08-13,2025,8,13,225
EV10029,Mumbai,DC Fast,Car,140.9,280.8990303560364,Inactive,2025-09-01,2025,9,1,244
EV10030,Hyderabad,Fast,Bus,223.11,361.6073884904413,Active,2025-11-14,2025,11,14,318
EV10031,Delhi,Level 2,Bike,45.2,121.24512133112573,Active,2025-11-28,2025,11,28,332
EV10032,Kochi,Level 2,Bike,74.97,342.8107540343069,Active,2025-12-12,2025,12,12,346
EV10033,Hyderabad,Super Fast,Car,213.98,358.04435576116146,Active,2025-01-29,2025,1,29,29
EV10034,Calicut,DC Fast,Bus,192.3,288.1387216957709,Active,2025-12-24,2025,12,24,358
EV10035,Bangalore,Super Fast,Bus,250.0,453.7365775033811,Inactive,2025-12-23,2025,12,23,357
EV10036,Delhi,DC Fast,Bike,47.1,73.27751068246911,Active,2025-12-31,2025,12,31,365
EV10037,Hyderabad,Fast,Bus,80.63,105.01829964916135,Active,2025-10-12,2025,10,12,285
EV10038,Kochi,DC Fast,Bike,73.22,225.7591157069527,Active,2025-02-28,2025,2,28,59
EV10039,Kochi,Level 2,Bike,28.13,80.82211291243466,Active,2025-05-23,2025,5,23,143
EV10040,Trivandrum,Level 2,Bike,68.54,291.82214898756195,Active,2025-11-22,2025,11,22,326
EV10041,Trivandrum,DC Fast,Bus,133.56,211.2322239725237,Inactive,2025-12-18,2025,12,18,352
EV10042,Chennai,DC Fast,Bike,53.37,156.60598137724085,Inactive,2025-10-27,2025,10,27,300
EV10043,Calicut,DC Fast,Bike,29.12,101.59511024846589,Inactive,2025-08-14,2025,8,14,226
EV10044,Mumbai,Super Fast,Car,101.27,180.96235440714094,Inactive,2025-06-13,2025,6,13,164
EV10045,Hyderabad,DC Fast,Bike,102.22,311.82048839952415,Active,2025-03-25,2025,3,25,84
EV10046,Hyderabad,Fast,Bike,88.58,296.37690122691754,Active,2025-11-09,2025,11,9,313
EV10047,Mumbai,Super Fast,Car,97.26,98.53952010091223,Active,2025-04-27,2025,4,27,117
EV10048,Chennai,Super Fast,Car,65.76,79.96150915550403,Active,2025-11-16,2025,11,16,320
EV10049,Bangalore,DC Fast,Bus,48.62,32.80484605225881,Inactive,2025-07-23,2025,7,23,204
EV10050,Bangalore,Fast,Bike,19.41,25.964285021087488,Inactive,2025-12-21,2025,12,21,355
EV10051,Chennai,Super Fast,Bus,250.0,442.3090091454489,Inactive,2025-10-21,2025,10,21,294
EV10052,Bangalore,Level 2,Bus,48.19,41.64265088258716,Active,2025-05-25,2025,5,25,145
EV10053,Trivandrum,Super Fast,Car,198.23,370.9861327391582,Active,2025-01-27,2025,1,27,27
EV10054,Hyderabad,DC Fast,Bus,250.0,438.55284619757936,Active,2025-01-17,2025,1,17,17
EV10055,Chennai,Fast,Bike,40.18,67.06776730997964,Active,2025-03-04,2025,3,4,63
EV10056,Hyderabad,DC Fast,Car,125.41,229.42468343984845,Active,2025-09-24,2025,9,24,267
EV10057,Mumbai,Level 2,Bike,105.02,481.90543192365277,Active,2025-03-05,2025,3,5,64
